 Total battles: 111042
 Avg. weight/team: 0.62
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 39.99615% | 71410  | 32.155% | 63184  | 35.909% | 
 | 2    | Magearna           | 25.79701% | 44208  | 19.906% | 35782  | 20.336% | 
 | 3    | Greninja           | 25.78609% | 55772  | 25.113% | 42674  | 24.252% | 
 | 4    | Tapu Koko          | 18.29701% | 35531  | 15.999% | 29186  | 16.587% | 
 | 5    | Kartana            | 17.78420% | 33553  | 15.108% | 25138  | 14.286% | 
 | 6    | Ferrothorn         | 17.11250% | 36461  | 16.418% | 31692  | 18.011% | 
 | 7    | Heatran            | 15.08280% | 29406  | 13.241% | 24936  | 14.172% | 
 | 8    | Tapu Lele          | 13.91070% | 25612  | 11.533% | 20051  | 11.395% | 
 | 9    | Tapu Fini          | 11.84321% | 20955  |  9.436% | 17816  | 10.125% | 
 | 10   | Serperior          | 11.65062% | 23711  | 10.677% | 18023  | 10.243% | 
 | 11   | Rotom-Wash         | 11.29303% | 22643  | 10.196% | 19627  | 11.154% | 
 | 12   | Chansey            | 10.50282% | 20453  |  9.210% | 16307  |  9.268% | 
 | 13   | Toxapex            | 10.36149% | 21324  |  9.602% | 17185  |  9.767% | 
 | 14   | Tornadus-Therian   | 10.33913% | 18539  |  8.348% | 14956  |  8.500% | 
 | 15   | Hawlucha           |  9.89070% | 18579  |  8.366% | 12586  |  7.153% | 
 | 16   | Garchomp           |  9.37551% | 20707  |  9.324% | 16827  |  9.563% | 
 | 17   | Zapdos             |  9.24891% | 17525  |  7.891% | 14472  |  8.225% | 
 | 18   | Excadrill          |  9.01579% | 18352  |  8.264% | 15029  |  8.541% | 
 | 19   | Gliscor            |  8.93664% | 21726  |  9.783% | 17455  |  9.920% | 
 | 20   | Volcarona          |  8.63705% | 18456  |  8.310% | 12990  |  7.382% | 
 | 21   | Medicham-Mega      |  8.63657% | 14769  |  6.650% | 11940  |  6.786% | 
 | 22   | Victini            |  8.32007% | 15045  |  6.774% | 12124  |  6.890% | 
 | 23   | Kyurem-Black       |  7.78308% | 13880  |  6.250% | 10812  |  6.145% | 
 | 24   | Clefable           |  7.62437% | 16419  |  7.393% | 12638  |  7.182% | 
 | 25   | Kommo-o            |  7.61398% | 14842  |  6.683% | 11013  |  6.259% | 
 | 26   | Charizard-Mega-X   |  7.43340% | 16935  |  7.625% | 12797  |  7.273% | 
 | 27   | Alakazam-Mega      |  7.20522% | 14687  |  6.613% | 10162  |  5.775% | 
 | 28   | Mawile-Mega        |  7.10756% | 13900  |  6.259% | 10538  |  5.989% | 
 | 29   | Skarmory           |  6.82624% | 12778  |  5.754% | 10647  |  6.051% | 
 | 30   | Lopunny-Mega       |  6.47499% | 13351  |  6.012% | 10374  |  5.896% | 
 | 31   | Tapu Bulu          |  6.16765% | 11554  |  5.203% | 9066   |  5.152% | 
 | 32   | Pelipper           |  6.13902% | 13386  |  6.027% | 12337  |  7.011% | 
 | 33   | Swampert-Mega      |  5.91980% | 12188  |  5.488% | 10012  |  5.690% | 
 | 34   | Celesteela         |  5.79162% | 12084  |  5.441% | 9678   |  5.500% | 
 | 35   | Charizard-Mega-Y   |  5.54458% | 12697  |  5.717% | 10365  |  5.891% | 
 | 36   | Magnezone          |  5.36081% | 11011  |  4.958% | 8817   |  5.011% | 
 | 37   | Blacephalon        |  5.18110% | 11018  |  4.961% | 8297   |  4.715% | 
