Basic Info,Raw count,Avg. weight,Viability Ceiling,Abilities,Items,Spreads,Moves,Tera Types,Teammates,Checks and Counters
Landorus-Therian,76454,0.7608625251285074,96,Intimidate: 100.000,Rocky Helmet: 34.937 | Choice Scarf: 30.099 | Flyinium Z: 9.429 | Focus Sash: 8.380 | Leftovers: 7.155 | Iapapa Berry: 2.356 | Rockium Z: 2.306 | Yache Berry: 1.891 | Other: 3.447,Jolly:0/252/0/0/4/252: 17.581 | Impish:252/0/112/0/0/144: 11.911 | Jolly:0/232/68/0/0/208: 8.269 | Impish:204/0/156/0/0/148: 3.975 | Relaxed:248/0/232/28/0/0: 2.483 | Jolly:0/252/4/0/0/252: 2.436 | Other: 53.345,Earthquake: 97.890 | U-turn: 74.205 | Stealth Rock: 56.737 | Defog: 39.719 | Stone Edge: 22.235 | Hidden Power Ice: 22.084 | Explosion: 18.756 | Swords Dance: 13.925 | Knock Off: 12.613 | Fly: 9.553 | Toxic: 6.975 | Smack Down: 5.762 | Other: 19.546,Nothing: 100.000,Magearna: 35.524 | Greninja: 30.008 | Tapu Koko: 24.944 | Kartana: 24.684 | Heatran: 21.443 | Tapu Lele: 19.181 | Tapu Fini: 18.832 | Ferrothorn: 16.877 | Rotom-Wash: 16.398 | Medicham-Mega: 14.510 | Hawlucha: 12.854,"['Checks and Counters', 'Slowbro-Mega 86.291', 86.291, 93.73]","['Checks and Counters', 'Porygon2 81.399', 81.399, 89.95]","['Checks and Counters', 'Kingdra 80.750', 80.75, 91.45]","['Checks and Counters', 'Latias-Mega 78.730', 78.73, 83.99]","['Checks and Counters', 'Kyurem-Black 77.792', 77.792, 81.32]","['Checks and Counters', 'Cloyster 77.253', 77.253, 88.27]","['Checks and Counters', 'Mamoswine 76.993', 76.993, 86.48]","['Checks and Counters', 'Serperior 75.718', 75.718, 79.6]","['Checks and Counters', 'Gyarados-Mega 75.582', 75.582, 80.99]","['Checks and Counters', 'Kyurem 74.522', 74.522, 85.95]","['Checks and Counters', 'Hawlucha 73.618', 73.618, 77.79]","['Checks and Counters', 'Manaphy 73.604', 73.604, 82.61]"
Magearna,46807,0.7950049472837802,96,Soul-Heart: 100.000,Assault Vest: 46.792 | Leftovers: 21.862 | Fairium Z: 13.185 | Fightinium Z: 4.654 | Electrium Z: 2.300 | Shuca Berry: 2.110 | Iapapa Berry: 1.625 | Wiki Berry: 1.199 | Custap Berry: 1.069 | Choice Specs: 0.955 | Other: 4.249,Calm:248/0/72/0/188/0: 7.990 | Timid:0/0/0/252/4/252: 5.565 | Quiet:252/0/4/252/0/0: 5.445 | Modest:252/0/0/252/4/0: 4.799 | Sassy:248/0/0/0/224/36: 4.531 | Quiet:252/0/0/252/4/0: 4.221 | Other: 67.449,Fleur Cannon: 78.902 | Volt Switch: 59.399 | Ice Beam: 55.603 | Thunderbolt: 33.411 | Hidden Power Fire: 26.158 | Calm Mind: 21.422 | Iron Head: 20.275 | Focus Blast: 20.095 | Flash Cannon: 17.797 | Pain Split: 16.284 | Trick Room: 13.887 | Shift Gear: 12.005 | Aura Sphere: 6.112 | Other: 18.649,Nothing: 100.000,Landorus-Therian: 55.531 | Greninja: 26.329 | Tapu Koko: 24.296 | Kartana: 22.673 | Medicham-Mega: 19.787 | Tapu Lele: 16.724 | Rotom-Wash: 16.533 | Serperior: 14.961 | Hawlucha: 13.430 | Kyurem-Black: 11.902 | Volcarona: 11.521,"['Checks and Counters', 'Marowak-Alola 81.683', 81.683, 87.61]","['Checks and Counters', 'Volcarona 81.406', 81.406, 86.38]","['Checks and Counters', 'Charizard-Mega-Y 80.366', 80.366, 86.3]","['Checks and Counters', 'Heatran 77.394', 77.394, 80.99]","['Checks and Counters', 'Victini 76.692', 76.692, 81.5]","['Checks and Counters', 'Blacephalon 74.834', 74.834, 81.21]","['Checks and Counters', 'Charizard-Mega-X 74.369', 74.369, 80.27]","['Checks and Counters', 'Swampert-Mega 73.795', 73.795, 78.92]","['Checks and Counters', 'Camerupt-Mega 69.444', 69.444, 83.88]","['Checks and Counters', 'Excadrill 69.383', 69.383, 74.02]","['Checks and Counters', 'Metagross 68.476', 68.476, 90.78]","['Checks and Counters', 'Chansey 67.045', 67.045, 71.19]"
Greninja,60428,0.6203947374363228,95,Battle Bond: 68.290 | Protean: 31.473 | Torrent: 0.237,Choice Specs: 50.557 | Life Orb: 12.468 | Waterium Z: 8.723 | Choice Scarf: 7.803 | Expert Belt: 5.664 | Groundium Z: 4.792 | Focus Sash: 3.484 | Psychium Z: 1.433 | Poisonium Z: 1.102 | Other: 3.973,Timid:0/0/0/252/4/252: 43.680 | Timid:0/0/4/252/0/252: 14.823 | Hasty:0/4/0/252/0/252: 9.082 | Timid:4/0/0/252/0/252: 7.326 | Hasty:0/252/0/4/0/252: 5.073 | Hasty:0/176/0/80/0/252: 3.315 | Other: 16.702,Dark Pulse: 70.885 | Water Shuriken: 66.787 | Ice Beam: 53.581 | Hydro Pump: 52.009 | Spikes: 44.475 | Surf: 25.488 | Gunk Shot: 20.441 | U-turn: 18.904 | Hidden Power Fire: 10.746 | Extrasensory: 7.493 | Rock Slide: 5.740 | Dig: 4.854 | Other: 18.598,Nothing: 100.000,Landorus-Therian: 46.562 | Ferrothorn: 28.146 | Magearna: 26.134 | Tapu Koko: 17.181 | Kartana: 15.693 | Tapu Lele: 15.474 | Tornadus-Therian: 14.685 | Pelipper: 13.920 | Swampert-Mega: 13.432 | Medicham-Mega: 11.858 | Heatran: 11.503,"['Checks and Counters', 'Sceptile 74.865', 74.865, 93.78]","['Checks and Counters', 'Chansey 74.311', 74.311, 78.06]","['Checks and Counters', 'Blissey 70.652', 70.652, 82.64]","['Checks and Counters', 'Keldeo 68.313', 68.313, 75.92]","['Checks and Counters', 'Gastrodon 63.262', 63.262, 73.83]","['Checks and Counters', 'Lopunny-Mega 61.628', 61.628, 67.68]","['Checks and Counters', 'Snorlax 61.523', 61.523, 78.31]","['Checks and Counters', 'Gyarados-Mega 60.176', 60.176, 69.77]","['Checks and Counters', 'Kommo-o 59.889', 59.889, 66.68]","['Checks and Counters', 'Muk-Alola 59.249', 59.249, 71.74]","['Checks and Counters', 'Tapu Fini 59.053', 59.053, 63.17]","['Checks and Counters', 'Breloom 57.896', 57.896, 70.79]"
Tapu Koko,38117,0.6965191329527968,94,Electric Surge: 100.000,Choice Specs: 21.401 | Life Orb: 19.377 | Electrium Z: 13.660 | Choice Scarf: 10.146 | Magnet: 7.838 | Shuca Berry: 6.796 | Light Clay: 6.135 | Fairium Z: 2.611 | Terrain Extender: 2.457 | Leftovers: 2.297 | Expert Belt: 0.885 | Tapunium Z: 0.855 | Zap Plate: 0.848 | Other: 4.694,Timid:0/0/0/252/4/252: 54.033 | Timid:8/0/4/244/0/252: 5.744 | Timid:4/0/0/252/0/252: 5.069 | Modest:0/0/0/252/4/252: 4.496 | Timid:0/0/4/252/0/252: 3.999 | Hasty:0/252/0/4/0/252: 2.815 | Other: 23.844,Thunderbolt: 73.170 | Hidden Power Ice: 66.514 | Dazzling Gleam: 56.240 | Volt Switch: 55.174 | U-turn: 37.595 | Roost: 21.881 | Taunt: 14.329 | Defog: 12.707 | Wild Charge: 11.704 | Hidden Power Fire: 7.429 | Grass Knot: 6.666 | Light Screen: 6.283 | Reflect: 6.267 | Thunder: 4.786 | Other: 19.256,Nothing: 100.000,Landorus-Therian: 54.653 | Magearna: 34.054 | Hawlucha: 31.785 | Greninja: 24.261 | Medicham-Mega: 22.928 | Kyurem-Black: 19.140 | Ferrothorn: 18.257 | Kartana: 13.029 | Heatran: 11.727 | Tapu Fini: 10.862 | Serperior: 10.416,"['Checks and Counters', 'Venusaur-Mega 80.591', 80.591, 87.86]","['Checks and Counters', 'Swampert-Mega 76.678', 76.678, 82.3]","['Checks and Counters', 'Camerupt-Mega 75.387', 75.387, 90.26]","['Checks and Counters', 'Venusaur 74.078', 74.078, 87.02]","['Checks and Counters', 'Excadrill 72.952', 72.952, 78.1]","['Checks and Counters', 'Chansey 72.332', 72.332, 76.92]","['Checks and Counters', 'Ferrothorn 69.463', 69.463, 73.96]","['Checks and Counters', 'Nidoqueen 68.361', 68.361, 87.57]","['Checks and Counters', 'Gastrodon 67.371', 67.371, 78.53]","['Checks and Counters', 'Alakazam-Mega 67.318', 67.318, 74.7]","['Checks and Counters', 'Raichu-Alola 67.012', 67.012, 85.55]","['Checks and Counters', 'Marowak-Alola 66.390', 66.39, 77.3]"
Kartana,36036,0.7164212990270354,95,Beast Boost: 100.000,Choice Scarf: 54.320 | Choice Band: 10.525 | Grassium Z: 8.768 | Normalium Z: 7.640 | Focus Sash: 4.086 | Life Orb: 2.730 | Miracle Seed: 2.524 | Fightinium Z: 2.043 | Steelium Z: 1.701 | Rocky Helmet: 1.236 | Other: 4.429,Jolly:0/252/0/0/4/252: 63.649 | Jolly:0/252/4/0/0/252: 7.108 | Jolly:4/252/0/0/0/252: 6.737 | Jolly:128/128/0/0/0/252: 6.555 | Timid:252/0/4/0/0/252: 2.380 | Adamant:0/252/0/0/4/252: 1.745 | Other: 11.826,Leaf Blade: 99.056 | Sacred Sword: 85.794 | Knock Off: 82.527 | Smart Strike: 68.978 | Swords Dance: 20.320 | Defog: 16.151 | Synthesis: 10.500 | Other: 16.673,Nothing: 100.000,Landorus-Therian: 55.617 | Magearna: 32.680 | Tapu Lele: 22.862 | Greninja: 22.788 | Rotom-Wash: 19.570 | Heatran: 18.569 | Tapu Fini: 16.826 | Tapu Koko: 13.399 | Alakazam-Mega: 11.838 | Garchomp: 8.940 | Medicham-Mega: 8.592,"['Checks and Counters', 'Hawlucha 72.918', 72.918, 79.75]","['Checks and Counters', 'Skarmory 67.396', 67.396, 73.29]","['Checks and Counters', 'Buzzwole 65.760', 65.76, 77.39]","['Checks and Counters', 'Venusaur-Mega 65.441', 65.441, 73.73]","['Checks and Counters', 'Celesteela 63.544', 63.544, 70.72]","['Checks and Counters', 'Mawile-Mega 59.366', 59.366, 66.68]","['Checks and Counters', 'Kommo-o 59.026', 59.026, 66.77]","['Checks and Counters', 'Tangrowth 56.885', 56.885, 65.94]","['Checks and Counters', 'Kingdra 55.279', 55.279, 75.48]","['Checks and Counters', 'Dragonite 53.836', 53.836, 65.36]","['Checks and Counters', 'Serperior 51.837', 51.837, 58.49]","['Checks and Counters', 'Zapdos 51.702', 51.702, 58.07]"
Ferrothorn,39317,0.6344749326161859,95,Iron Barbs: 99.913 | Anticipation: 0.087,Leftovers: 73.396 | Rocky Helmet: 12.940 | Iapapa Berry: 3.911 | Aguav Berry: 3.102 | Chople Berry: 2.890 | Other: 3.760,Sassy:252/0/24/0/232/0: 19.385 | Careful:252/0/24/0/232/0: 3.973 | Relaxed:252/4/252/0/0/0: 3.882 | Careful:252/0/48/0/208/0: 3.688 | Careful:248/0/24/0/236/0: 3.153 | Relaxed:248/8/252/0/0/0: 2.902 | Other: 63.018,Leech Seed: 86.251 | Power Whip: 59.456 | Gyro Ball: 59.022 | Stealth Rock: 57.819 | Spikes: 50.450 | Knock Off: 25.432 | Protect: 24.474 | Thunder Wave: 19.553 | Other: 17.542,Nothing: 100.000,Greninja: 42.299 | Landorus-Therian: 39.354 | Tornadus-Therian: 23.140 | Pelipper: 22.629 | Swampert-Mega: 22.128 | Tapu Koko: 19.430 | Garchomp: 11.990 | Tapu Fini: 11.681 | Tapu Lele: 11.524 | Lopunny-Mega: 11.489 | Toxapex: 11.417,"['Checks and Counters', 'Houndoom-Mega 98.237', 98.237, 99.96]","['Checks and Counters', 'Heatran 86.597', 86.597, 89.32]","['Checks and Counters', 'Charizard-Mega-Y 84.481', 84.481, 88.84]","['Checks and Counters', 'Volcarona 84.121', 84.121, 88.47]","['Checks and Counters', 'Marowak-Alola 81.968', 81.968, 89.53]","['Checks and Counters', 'Camerupt-Mega 81.200', 81.2, 93.47]","['Checks and Counters', 'Blacephalon 81.142', 81.142, 87.02]","['Checks and Counters', 'Charizard-Mega-X 80.996', 80.996, 85.72]","['Checks and Counters', 'Kommo-o 80.675', 80.675, 86.02]","['Checks and Counters', 'Sableye-Mega 78.796', 78.796, 84.16]","['Checks and Counters', 'Volcanion 78.484', 78.484, 90.61]","['Checks and Counters', 'Heracross-Mega 78.384', 78.384, 90.37]"
Heatran,32054,0.6915872479022519,95,Flash Fire: 100.000,Leftovers: 75.766 | Air Balloon: 7.657 | Firium Z: 6.284 | Grassium Z: 2.734 | Assault Vest: 1.966 | Steelium Z: 1.412 | Other: 4.181,Calm:252/0/0/0/180/76: 15.587 | Calm:252/0/0/4/252/0: 10.623 | Timid:0/0/0/252/4/252: 6.261 | Calm:244/0/0/0/216/48: 4.439 | Modest:0/0/0/252/4/252: 4.080 | Timid:148/0/0/0/108/252: 3.282 | Other: 55.728,Earth Power: 80.555 | Magma Storm: 74.409 | Stealth Rock: 62.853 | Toxic: 48.458 | Taunt: 47.668 | Protect: 23.634 | Lava Plume: 21.972 | Flash Cannon: 13.655 | Hidden Power Ice: 4.877 | Solar Beam: 3.676 | Other: 18.243,Nothing: 100.000,Landorus-Therian: 56.270 | Kartana: 21.626 | Tapu Fini: 21.304 | Greninja: 19.453 | Tapu Bulu: 19.065 | Tapu Koko: 14.045 | Rotom-Wash: 13.708 | Scizor-Mega: 11.428 | Weavile: 10.769 | Zapdos: 9.836 | Ferrothorn: 9.554,"['Checks and Counters', 'Kommo-o 87.353', 87.353, 91.58]","['Checks and Counters', 'Manaphy 86.901', 86.901, 93.63]","['Checks and Counters', 'Swampert-Mega 85.502', 85.502, 90.74]","['Checks and Counters', 'Garchomp-Mega 85.229', 85.229, 94.44]","['Checks and Counters', 'Gyarados-Mega 82.289', 82.289, 90.45]","['Checks and Counters', 'Garchomp 82.101', 82.101, 86.49]","['Checks and Counters', 'Gallade-Mega 81.666', 81.666, 92.83]","['Checks and Counters', 'Gyarados 81.466', 81.466, 91.82]","['Checks and Counters', 'Keldeo 80.153', 80.153, 86.87]","['Checks and Counters', 'Gliscor 80.108', 80.108, 84.02]","['Checks and Counters', 'Dragonite 80.036', 80.036, 88.29]","['Checks and Counters', 'Zygarde-10% 79.817', 79.817, 95.9]"
Tapu Lele,27402,0.7350230076032918,95,Psychic Surge: 100.000,Choice Specs: 33.815 | Choice Scarf: 23.139 | Twisted Spoon: 14.269 | Psychium Z: 7.541 | Fightinium Z: 5.957 | Terrain Extender: 4.764 | Assault Vest: 3.924 | Life Orb: 2.384 | Other: 4.207,Timid:0/0/0/252/4/252: 49.063 | Modest:0/0/0/252/4/252: 28.172 | Modest:4/0/0/252/0/252: 3.475 | Timid:0/0/4/252/0/252: 2.869 | Timid:4/0/0/252/0/252: 2.814 | Timid:0/0/0/252/0/252: 1.953 | Other: 11.654,Moonblast: 98.918 | Psyshock: 81.584 | Hidden Power Fire: 57.222 | Psychic: 56.999 | Focus Blast: 42.122 | Calm Mind: 20.342 | Thunderbolt: 10.613 | Taunt: 10.106 | Shadow Ball: 6.344 | Other: 15.750,Nothing: 100.000,Landorus-Therian: 55.399 | Alakazam-Mega: 31.902 | Magearna: 30.899 | Kartana: 29.306 | Greninja: 28.804 | Hawlucha: 20.463 | Rotom-Wash: 17.923 | Ferrothorn: 14.273 | Excadrill: 10.636 | Victini: 9.701 | Garchomp: 9.449,"['Checks and Counters', 'Muk-Alola 72.762', 72.762, 84.46]","['Checks and Counters', 'Kartana 69.540', 69.54, 74.46]","['Checks and Counters', 'Celesteela 67.907', 67.907, 74.58]","['Checks and Counters', 'Stakataka 63.641', 63.641, 88.04]","['Checks and Counters', 'Swampert-Mega 63.503', 63.503, 71.77]","['Checks and Counters', 'Blacephalon 62.923', 62.923, 73.29]","['Checks and Counters', 'Victini 61.305', 61.305, 68.32]","['Checks and Counters', 'Metagross 59.951', 59.951, 85.33]","['Checks and Counters', 'Jirachi 59.185', 59.185, 66.84]","['Checks and Counters', 'Mimikyu 57.535', 57.535, 71.39]","['Checks and Counters', 'Alakazam-Mega 55.320', 55.32, 65.18]","['Checks and Counters', 'Excadrill 52.717', 52.717, 60.97]"
Tapu Fini,22374,0.7683352760551357,95,Misty Surge: 100.000,Leftovers: 88.030 | Wiki Berry: 3.505 | Choice Scarf: 2.666 | Aguav Berry: 1.951 | Other: 3.847,Calm:248/0/16/12/40/192: 13.628 | Calm:248/0/92/32/120/16: 10.618 | Calm:248/0/172/0/88/0: 5.956 | Bold:252/0/252/0/4/0: 5.315 | Bold:248/0/156/0/40/64: 2.465 | Calm:248/0/0/12/52/196: 2.297 | Other: 59.720,Moonblast: 92.429 | Taunt: 78.329 | Defog: 77.413 | Scald: 47.092 | Nature's Madness: 37.220 | Surf: 22.481 | Whirlpool: 15.586 | Calm Mind: 7.555 | Knock Off: 4.474 | Other: 17.421,Nothing: 100.000,Landorus-Therian: 63.729 | Heatran: 27.473 | Kartana: 25.271 | Kyurem-Black: 19.961 | Magearna: 18.503 | Ferrothorn: 16.952 | Tapu Koko: 16.776 | Greninja: 16.537 | Weavile: 15.786 | Charizard-Mega-Y: 14.448 | Victini: 11.274,"['Checks and Counters', 'Serperior 78.403', 78.403, 83.39]","['Checks and Counters', 'Venusaur-Mega 76.606', 76.606, 84.45]","['Checks and Counters', 'Kartana 73.871', 73.871, 78.61]","['Checks and Counters', 'Venusaur 73.399', 73.399, 89.68]","['Checks and Counters', 'Muk-Alola 73.395', 73.395, 87.04]","['Checks and Counters', 'Xurkitree 73.051', 73.051, 91.97]","['Checks and Counters', 'Roserade 72.705', 72.705, 88.6]","['Checks and Counters', 'Charizard-Mega-Y 70.633', 70.633, 78.7]","['Checks and Counters', 'Porygon-Z 68.155', 68.155, 86.95]","['Checks and Counters', 'Nihilego 68.132', 68.132, 88.89]","['Checks and Counters', 'Tapu Lele 67.523', 67.523, 73.02]","['Checks and Counters', 'Alakazam-Mega 67.478', 67.478, 76.63]"
Serperior,25585,0.6559491500045116,96,Contrary: 99.705 | Overgrow: 0.295,Leftovers: 37.198 | Choice Scarf: 29.678 | Rocky Helmet: 21.039 | Light Clay: 1.805 | Choice Specs: 1.787 | Focus Sash: 1.664 | Wide Lens: 1.097 | Iapapa Berry: 0.844 | Other: 4.888,Timid:0/0/0/252/4/252: 38.495 | Timid:56/0/0/200/0/252: 12.632 | Timid:208/0/48/0/0/252: 8.614 | Timid:252/0/0/4/0/252: 6.999 | Timid:216/0/40/0/0/252: 5.838 | Timid:4/0/0/252/0/252: 4.782 | Other: 22.640,Leaf Storm: 99.788 | Glare: 83.972 | Hidden Power Fire: 45.244 | Defog: 44.988 | Substitute: 31.070 | Taunt: 24.002 | Leech Seed: 20.935 | Knock Off: 17.422 | Dragon Pulse: 7.996 | Hidden Power Ground: 5.486 | Other: 19.095,Nothing: 100.000,Landorus-Therian: 33.384 | Magearna: 33.174 | Greninja: 23.376 | Volcarona: 20.985 | Charizard-Mega-X: 19.430 | Kommo-o: 18.668 | Tapu Koko: 16.477 | Diancie-Mega: 15.044 | Heatran: 12.069 | Victini: 10.791 | Garchomp: 10.564,"['Checks and Counters', 'Volcarona 80.158', 80.158, 87.06]","['Checks and Counters', 'Venusaur-Mega 79.871', 79.871, 88.24]","['Checks and Counters', 'Hawlucha 76.386', 76.386, 84.59]","['Checks and Counters', 'Pinsir-Mega 73.945', 73.945, 84.69]","['Checks and Counters', 'Goodra 69.917', 69.917, 86.76]","['Checks and Counters', 'Dragonite 68.955', 68.955, 82.82]","['Checks and Counters', 'Charizard-Mega-Y 68.234', 68.234, 78.12]","['Checks and Counters', 'Amoonguss 67.832', 67.832, 83.21]","['Checks and Counters', 'Heatran 67.774', 67.774, 72.98]","['Checks and Counters', 'Weavile 62.931', 62.931, 75.87]","['Checks and Counters', 'Marowak-Alola 62.394', 62.394, 78.57]","['Checks and Counters', 'Salazzle 60.478', 60.478, 87.54]"
