 Total battles: 46297
 Avg. weight/team: 0.089
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 40.26348% | 33372  | 36.041% | 29624  | 39.062% | 
 | 2    | Weavile            | 30.36139% | 17967  | 19.404% | 14144  | 18.650% | 
 | 3    | Clefable           | 28.28996% | 15393  | 16.624% | 12960  | 17.089% | 
 | 4    | Heatran            | 27.50691% | 17696  | 19.111% | 15548  | 20.502% | 
 | 5    | Garchomp           | 27.48811% | 18757  | 20.257% | 15334  | 20.219% | 
 | 6    | Melmetal           | 23.45047% | 15751  | 17.011% | 13093  | 17.264% | 
 | 7    | Dragapult          | 22.96315% | 22258  | 24.038% | 17656  | 23.281% | 
 | 8    | Ferrothorn         | 22.72535% | 21955  | 23.711% | 19235  | 25.363% | 
 | 9    | Tornadus-Therian   | 22.71071% | 11984  | 12.943% | 10331  | 13.622% | 
 | 10   | Zapdos             | 20.65140% | 15205  | 16.421% | 12892  | 16.999% | 
 | 11   | Corviknight        | 18.32082% | 12489  | 13.488% | 10525  | 13.878% | 
 | 12   | Tapu Lele          | 17.45385% | 14337  | 15.484% | 11366  | 14.987% | 
 | 13   | Urshifu-Rapid-Strike | 17.36222% | 14523  | 15.685% | 12111  | 15.969% | 
 | 14   | Toxapex            | 16.80367% | 11188  | 12.083% | 9532   | 12.569% | 
 | 15   | Kartana            | 15.40341% | 12980  | 14.018% | 10036  | 13.233% | 
 | 16   | Slowbro            | 14.41197% | 9144   |  9.875% | 7800   | 10.285% | 
 | 17   | Slowking-Galar     | 12.89077% | 6159   |  6.652% | 5299   |  6.987% | 
 | 18   | Tapu Koko          | 11.06947% | 9305   | 10.049% | 7631   | 10.062% | 
 | 19   | Rillaboom          | 10.47613% | 10743  | 11.602% | 8546   | 11.269% | 
 | 20   | Blacephalon        | 10.18195% | 8306   |  8.970% | 6484   |  8.550% | 
 | 21   | Dragonite          |  9.23903% | 6786   |  7.329% | 5079   |  6.697% | 
 | 22   | Excadrill          |  8.94328% | 6656   |  7.188% | 5173   |  6.821% | 
 | 23   | Rotom-Wash         |  8.75663% | 5582   |  6.028% | 4940   |  6.514% | 
 | 24   | Tyranitar          |  8.64181% | 8413   |  9.086% | 7227   |  9.529% | 
 | 25   | Gastrodon          |  7.99221% | 3228   |  3.486% | 2707   |  3.569% | 
 | 26   | Skarmory           |  7.63388% | 3708   |  4.005% | 3232   |  4.262% | 
 | 27   | Hippowdon          |  7.29351% | 3440   |  3.715% | 3094   |  4.080% | 
 | 28   | Tapu Fini          |  7.18366% | 6888   |  7.439% | 6016   |  7.933% | 
 | 29   | Buzzwole           |  6.13709% | 5175   |  5.589% | 4202   |  5.541% | 
 | 30   | Zeraora            |  5.01216% | 5570   |  6.016% | 4317   |  5.692% | 
 | 31   | Mew                |  4.91888% | 5955   |  6.431% | 5335   |  7.035% | 
 | 32   | Magnezone          |  4.71076% | 3684   |  3.979% | 2956   |  3.898% | 
 | 33   | Blissey            |  4.47583% | 6410   |  6.923% | 5124   |  6.756% | 
 | 34   | Crawdaunt          |  4.41638% | 5212   |  5.629% | 3892   |  5.132% | 
 | 35   | Blaziken           |  4.37119% | 3768   |  4.069% | 2928   |  3.861% | 
 | 36   | Volcarona          |  4.17651% | 6729   |  7.267% | 5137   |  6.774% | 
 | 37   | Hatterene          |  4.09691% | 2725   |  2.943% | 2228   |  2.938% | 
 | 38   | Slowking           |  3.93946% | 2727   |  2.945% | 2288   |  3.017% | 
 | 39   | Nidoking           |  3.84373% | 3965   |  4.282% | 3236   |  4.267% | 
 | 40   | Ninetales-Alola    |  3.82778% | 5494   |  5.933% | 4817   |  6.352% | 
 | 41   | Scizor             |  3.78915% | 3220   |  3.478% | 2534   |  3.341% | 
 | 42   | Volcanion          |  3.66488% | 3715   |  4.012% | 3188   |  4.204% | 
 | 43   | Bisharp            |  3.46923% | 3859   |  4.168% | 3085   |  4.068% | 
 | 44   | Celesteela         |  3.26123% | 3454   |  3.730% | 2713   |  3.577% | 
 | 45   | Moltres-Galar      |  2.74046% | 2720   |  2.938% | 2063   |  2.720% | 
 | 46   | Kommo-o            |  2.70020% | 2081   |  2.247% | 1635   |  2.156% | 
 | 47   | Pelipper           |  2.64625% | 5648   |  6.100% | 5262   |  6.938% | 
 | 48   | Marowak-Alola      |  2.30612% | 1391   |  1.502% | 1091   |  1.439% | 
 | 49   | Victini            |  2.24187% | 5079   |  5.485% | 4265   |  5.624% | 
 | 50   | Barraskewda        |  2.08615% | 4526   |  4.888% | 3572   |  4.710% | 
 | 51   | Arctozolt          |  1.92541% | 3273   |  3.535% | 2492   |  3.286% | 
 | 52   | Mandibuzz          |  1.89143% | 1637   |  1.768% | 1312   |  1.730% | 
 | 53   | Drampa             |  1.85760% | 282    |  0.305% | 224    |  0.295% | 
